law,old_unit_id,new_unit_id,old_sha256,new_sha256,old_words,new_words
21538,utt_c40042f779ebe8138259::p0004-p0005,utt_c40042f779ebe8138259::p0004-p0005,02c293f826a637239a6974e5cee49ad16e8d4ce7295fe757caa834aea37c132c,02c293f826a637239a6974e5cee49ad16e8d4ce7295fe757caa834aea37c132c,118,118
21538,utt_c40042f779ebe8138259::p0006,utt_c40042f779ebe8138259::p0006,8fc1fea72756793d47aa8afb9ff4c0ef37a51a9ef79de12842316716555e2f85,8fc1fea72756793d47aa8afb9ff4c0ef37a51a9ef79de12842316716555e2f85,108,108
21538,utt_c40042f779ebe8138259::p0007-p0009,utt_c40042f779ebe8138259::p0007-p0009,33e96400cd32145a5ff63ef05fc8e138e906980386b3be8f25be61b900c9d8df,33e96400cd32145a5ff63ef05fc8e138e906980386b3be8f25be61b900c9d8df,105,105
21538,utt_c40042f779ebe8138259::p0010-p0011,utt_c40042f779ebe8138259::p0010-p0011,6d7b231e41d024afdaa3ba2b9e9fc913ec40f02d6eef7756668a5ae0e650b51d,6d7b231e41d024afdaa3ba2b9e9fc913ec40f02d6eef7756668a5ae0e650b51d,64,64
21538,utt_e4905a4527b414754f30::p0001,utt_e4905a4527b414754f30::p0001,d2fd7053e2c4df50f181f9da6896a42ac3e09af193914fa5afe2bfb4c92925c2,d2fd7053e2c4df50f181f9da6896a42ac3e09af193914fa5afe2bfb4c92925c2,52,52
21538,utt_e4905a4527b414754f30::p0002-p0004,utt_e4905a4527b414754f30::p0002-p0004,fe6d21cc241045109903fd2f6dcfc93b85db24605d5d568bea27d34be015a4d8,fe6d21cc241045109903fd2f6dcfc93b85db24605d5d568bea27d34be015a4d8,82,82
21538,utt_1d1a291db1c290de4469::p0001-p0003,utt_1d1a291db1c290de4469::p0001-p0003,5f59dabebccc24faa8792b09146b33d0bff125669f8746438c8fe2241c0016e9,5f59dabebccc24faa8792b09146b33d0bff125669f8746438c8fe2241c0016e9,149,149
21538,utt_266372456152ad1a0310::p0001,utt_266372456152ad1a0310::p0001,9b5ba090baf4063d210119819979148c0a4c68a67217cf9c97e554259d95eda2,9b5ba090baf4063d210119819979148c0a4c68a67217cf9c97e554259d95eda2,41,41
21538,utt_35eb02652368ec837c3c::p0001-p0002,utt_35eb02652368ec837c3c::p0001-p0002,3675bd5566b4652d595bb16ed72aea48ae31e74dac60e303c71d6c485fff90ad,3675bd5566b4652d595bb16ed72aea48ae31e74dac60e303c71d6c485fff90ad,39,39
21538,utt_39185ee6b29fbac00ea9::p0001-p0002,utt_39185ee6b29fbac00ea9::p0001-p0002,01fb760c330b45bd890ebe6e2fa0b63539e881ae6f8b18bc7031914ddcca40ff,01fb760c330b45bd890ebe6e2fa0b63539e881ae6f8b18bc7031914ddcca40ff,73,73
21538,utt_39185ee6b29fbac00ea9::p0003-p0007,utt_39185ee6b29fbac00ea9::p0003-p0007,a69d2dbbed19abe77fdcd80e58f767c259805569f4603b30b61a6ae14f819c98,a69d2dbbed19abe77fdcd80e58f767c259805569f4603b30b61a6ae14f819c98,125,125
21538,utt_a6cd24bed8a69781efc0::p0001-p0003,utt_a6cd24bed8a69781efc0::p0001-p0003,10434c5d088beacc77cea4c18e12646726032e3153379e5f5ad277d08e80e726,10434c5d088beacc77cea4c18e12646726032e3153379e5f5ad277d08e80e726,58,58
21538,utt_fe7234a44c91cc4364e2::p0001-p0002,utt_fe7234a44c91cc4364e2::p0001-p0003s001,b8a864c84b09ca934f151aebd940abcea512c564c7ac9e55ba86fc9300701dff,02aaa17846529a97f0c358a89ff8894d79c3d665bdaa5cb4e66a56496b030a12,5,155
21538,utt_fe7234a44c91cc4364e2::p0003s001,utt_fe7234a44c91cc4364e2::p0001-p0003s001,dea8a6c38a70f887854f10d124b57ad8944f076d34f9e667f7da5de85ac24ea3,02aaa17846529a97f0c358a89ff8894d79c3d665bdaa5cb4e66a56496b030a12,150,155
