run_id,run_role,sample_index,unit_id,response_id,model,status,api_status,incomplete_reason,usage_available,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,response_path,response_sha256,request_sha256,started_at_utc,finished_at_utc,duplicate_response_id
pilot_f3a69c2f81c587271ef5,pilot,101,utt_efe6539eeb00b9a4cdd8::p0034-p0036,resp_0939218fe186b75e016aa06954a4bc87d1b181f1dfc64411a9,gpt-5.6-luna,incomplete,incomplete,max_output_tokens,True,5823,5336,16384,16384,22207,output/annotations/pilot_f3a69c2f81c587271ef5/results/00101.json,e99f233ec1cd52426b27bc8f8b9cb97926edbb84adde28edf315faee93bc2496,61fba3e48ef786be82499923c0a3ec9f5ebe9dc5f259893a50e2431962139c65,2026-09-08T20:00:20.449032+00:00,2026-09-08T20:03:51.245871+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,102,utt_872316bf7e8593e415d3::p0001,resp_079babf55855e9f8016aa06956a02487d186a1a0d9f9678916,gpt-5.6-luna,completed,completed,,True,5610,5336,304,222,5914,output/annotations/pilot_f3a69c2f81c587271ef5/results/00102.json,0b7cbeb5259f16ffd97184fc3a64c0c17768b4eb4f9ac6ea133ec27e621c78ab,7c43d48b6ebc307de8ac69f8aca39cacddd06fd4502a63ca363bb150fd633749,2026-09-08T20:00:22.298144+00:00,2026-09-08T20:00:27.365377+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,103,utt_f341957cdb85912bc40f::p0001-p0002,resp_041d6708ad265c54016aa0695b870487d1ac65a6563713bb4c,gpt-5.6-luna,completed,completed,,True,5671,5336,8685,8325,14356,output/annotations/pilot_f3a69c2f81c587271ef5/results/00103.json,00729093b45ba165afbe3a0f3551f54defb30203dceea334902f92501076c4e9,5816b6171414263d3a0083bcf8ce73e3b8ded8855dea16298b2e3858b9db939a,2026-09-08T20:00:27.368846+00:00,2026-09-08T20:02:20.590970+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,104,utt_f341957cdb85912bc40f::p0003,resp_02d3f39cba98d58b016aa06964d11c87d1838037e9ecc69933,gpt-5.6-luna,completed,completed,,True,5868,5336,10276,9740,16144,output/annotations/pilot_f3a69c2f81c587271ef5/results/00104.json,669be2789cf04a9ea8d0fabf70fea085f800c4197afcbf4d14c75123afc4b8f1,1449337d5ffd0a0472f4fed0f396ee005c33245edf3b9b900cf22a159292a220,2026-09-08T20:00:36.588789+00:00,2026-09-08T20:02:47.417941+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,105,utt_f341957cdb85912bc40f::p0004-p0008,resp_0472ab6c27289a52016aa06965b88c87d1891f1f7b78224faa,gpt-5.6-luna,completed,completed,,True,5917,5336,13055,12770,18972,output/annotations/pilot_f3a69c2f81c587271ef5/results/00105.json,3ddf1792c63d208b2aa28721cb8c99d5c78e6c5d95be90a483efb396c868476b,75ecfef5a92f9fb6b0b3eb7510f1af47291a153c780a79fd70bdd525cb255a28,2026-09-08T20:00:37.517202+00:00,2026-09-08T20:03:22.751679+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,106,utt_69b0104a4a86fe6c854c::p0001-p0003,resp_049c28cce27623f5016aa0696faf8087d1919318f06e615c88,gpt-5.6-luna,completed,completed,,True,6079,5336,516,430,6595,output/annotations/pilot_f3a69c2f81c587271ef5/results/00106.json,2fd43a4fae420845c87d0f3b386187ba8c0a9fb8b41a7c90f15457ff1bea0c51,d8928b96bac546b5cea8ed7c9dd1f55b6acbf23bab85c227a16c4c731a2682cf,2026-09-08T20:00:47.527225+00:00,2026-09-08T20:00:54.461227+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,107,utt_b9341b57a7bc037f529c::p0001-p0002,resp_0f94bf1c0690083d016aa06976d62087d18ea1702183dab66e,gpt-5.6-luna,completed,completed,,True,5784,5336,1665,1552,7449,output/annotations/pilot_f3a69c2f81c587271ef5/results/00107.json,17d790ad1b0516bdfa5a2e55a0fec837faa78b3840d825510c9e4c7b12c93917,b4d66b96934195df600da1c827c48ff1bafb09969592d26b4540170559bc1229,2026-09-08T20:00:54.466275+00:00,2026-09-08T20:01:17.798965+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,108,utt_b9341b57a7bc037f529c::p0003-p0004,resp_0bb1af1f938e3e5d016aa0698ca8ec87d1b4bd817090e1a371,gpt-5.6-luna,completed,completed,,True,5791,5336,9697,9322,15488,output/annotations/pilot_f3a69c2f81c587271ef5/results/00108.json,73ffcfa8957fd8055f9cdbeaca95e95f736ecd6a5e095eaea9f9a64a57602e41,ba4256d17fad680cabe4b1af2804e3eb7a5978891cf34c56df7cd462422cf3a3,2026-09-08T20:01:16.226070+00:00,2026-09-08T20:03:17.139463+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,109,utt_b9341b57a7bc037f529c::p0005,resp_0c2f39c677c3ed2d016aa0698df9b487d18c1fc5b5aa82d01b,gpt-5.6-luna,completed,completed,,True,5774,5336,534,448,6308,output/annotations/pilot_f3a69c2f81c587271ef5/results/00109.json,a8c2fdbef7861404b5e2f688cceda99cc6a2fbe8094537297da66cb050318b26,a2d8bc50932a1e50a617604ce32878739a1e84c0cb6807d772db58d17ab3032d,2026-09-08T20:01:17.804479+00:00,2026-09-08T20:01:24.968997+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,110,utt_b9341b57a7bc037f529c::p0006,resp_0b76d2a674c67b6a016aa0699550c887d1ba2ded49865b74a6,gpt-5.6-luna,incomplete,incomplete,max_output_tokens,True,5785,5336,16384,16384,22169,output/annotations/pilot_f3a69c2f81c587271ef5/results/00110.json,30eebb8f551e2a49c16bf4a9b48446b44efa06ab18868b78f9d4c0442d3583e5,3772d800b569f3f50ad9a55d765f552113dec58ce1c3f856ed5af6059cd170ea,2026-09-08T20:01:24.971961+00:00,2026-09-08T20:04:48.977924+00:00,False
pilot_f3a69c2f81c587271ef5,pilot,111,utt_b9341b57a7bc037f529c::p0007-p0009,resp_08c865ac54da5e2b016aa0699bdf9887d19a093bf0e09130fa,gpt-5.6-luna,completed,completed,,True,5830,5336,13917,13466,19747,output/annotations/pilot_f3a69c2f81c587271ef5/results/00111.json,a2b89b2283ae3da0ee623e7e499951a225a7f1561e61e6a36bdc6bb9c6f1cc3b,8e664a712fec2e10a7d11904d3aa7e182be4825f750b4a6c8f3fcf795ed23121,2026-09-08T20:01:31.695843+00:00,2026-09-08T20:04:17.216550+00:00,False
