username;link;party;location;function;since;until
mamberends;twitter.com/mamberends;pvda;;;;
Marijeeleveld;twitter.com/Marijeeleveld;pvda;;;;2017
mbordewijk;twitter.com/mbordewijk;d66;;;;
eduardvzuijlen;twitter.com/eduardvzuijlen;gl;;;;2017
mickellangeveld;twitter.com/mickellangeveld;gl;;;;
margreetdeboer;twitter.com/margreetdeboer;gl;;;;
HansHaring;twitter.com/HansHaring;d66;woerden;;;
TvdVen;twitter.com/TvdVen;pvda;Vught;;;
sp_a;twitter.com/sp_a;spa;be;partij;;
CarineBloemhoff;twitter.com/CarineBloemhoff;pvda;;;;
petervheemst;twitter.com/petervheemst;pvda;;;;2006
WMeeuwissen;twitter.com/WMeeuwissen;vvd;;;;
ericvanderburg;twitter.com/ericvanderburg;vvd;amsterdam;wethouder;;
AxelBoomgaars;twitter.com/AxelBoomgaars;gl;;;;
MariannePoot;twitter.com/MariannePoot;vvd;amsterdam;Gemeenteraadslid;;
rubenwoudsma;twitter.com/rubenwoudsma;cda;huizen;;;
MartijnvdVeen;twitter.com/MartijnvdVeen;cda;;;;
VVD;twitter.com/VVD;vvd;;;;
AldavanZijl;twitter.com/AldavanZijl;d66;;;;
zeeger;twitter.com/zeeger;gl;amsterdam;;;
ErwinDeDeyn;twitter.com/ErwinDeDeyn;bbtk;be;vakbond;;
petervangool;twitter.com/petervangool;d66;tilburg;;;
EllenVerkoelen;twitter.com/EllenVerkoelen;cda;;;;
marijke54;twitter.com/marijke54;d66;steenbergen;wethouder;;
AafkePostma;twitter.com/AafkePostma;pvda;achtkarspelen;;;2016
marcoflorijn;twitter.com/marcoflorijn;pvda;;;;
Johanvandenhout;twitter.com/Johanvandenhout;sp;;statenlid;;
Mirjam_de_Rijk;twitter.com/Mirjam_de_Rijk;gl;utrecht;wethouder;2010;2014
martienbrander;twitter.com/martienbrander;pvda;haarlem;;;
ChrisvandenBos;twitter.com/ChrisvandenBos;vvd;;;;
RobJetten;twitter.com/RobJetten;d66;;;;
nlsptrs;twitter.com/nlsptrs;fnv;;vakbond;;
jnnvngst;twitter.com/jnnvngst;pvda;maassluis;Gemeenteraadslid;;
__Esther__;twitter.com/__Esther__;d66;wijchen;;;
RemineAlberts;twitter.com/RemineAlberts;sp;;;;
wfschiltz;twitter.com/wfschiltz;vld;be;;;
Josi2302;twitter.com/Josi2302;sp;;;;
AnkievTatenhove;twitter.com/AnkievTatenhove;cu;;;;
AlfonsP_VDG;twitter.com/AlfonsP_VDG;vdg;oss;;;
Rikwinsemius;twitter.com/Rikwinsemius;pvda;;;2014;
Hans_Adriani;twitter.com/Hans_Adriani;pvda;nieuwegein;;;
goedderz;twitter.com/goedderz;gl;berg en dal;;;
ericleltz;twitter.com/ericleltz;gl;den bosch;;;
Borisham;twitter.com/Borisham;d66;;;2012;
FleurNorbruis;twitter.com/FleurNorbruis;gl;delft;;;
arjenmaathuis;twitter.com/arjenmaathuis;vvd;almelo;;;
BiancaDebaets;twitter.com/BiancaDebaets;cdv;brussel;;;
BartDhondt;twitter.com/BartDhondt;groen;brussel;;;
beantsje;twitter.com/beantsje;cu;;;;
Marksnoeren;twitter.com/Marksnoeren;vvd;nieuwegein;Fractievoorzitter;;
ThomasLeys;twitter.com/ThomasLeys;vld;leuven;;;
HeleneOppatja;twitter.com/HeleneOppatja;pvda;;;;
apvanrosmalen;twitter.com/apvanrosmalen;gl;den bosch;;;
RonaldHaverkamp;twitter.com/RonaldHaverkamp;vvd;rheden;;;
GerardFidom;twitter.com/GerardFidom;gl;hoogeveen;;;
ldekleijn;twitter.com/ldekleijn;sp;rotterdam;;;
Koenie;twitter.com/Koenie;sp;utrecht;;;
MirjamSterk;twitter.com/MirjamSterk;cda;;;;2012
RoelLauwerier;twitter.com/RoelLauwerier;vvd;tilburg;;;
BasMaes;twitter.com/BasMaes;sp;;;;
RoyRistie;twitter.com/RoyRistie;d66;amsterdam;;;
rgnodde;twitter.com/rgnodde;gl;Leeuwarden;;;
kriens;twitter.com/kriens;pvda;;;;
